"'美国防部将推新计划 鼓励在美本土生产半导体芯片', '原标题：美国防部将推新计划鼓励在美本土生产半导体芯片（观察者网讯）路透社18日报道，美国国防部正在研究出台一项计划，鼓励发展美国本土的半导体芯片生产能力，改变依赖其他国家和地区代工的现状。相关信息由美国一家非政府组织“国家安全创新网络”的网站透露。该机构主要为私营企业提供联邦政府订单的机会。据称，五角大楼正计划推出名为“快速确保微电子原型-商用”，简称“RAMP-C”的项目。其目标是在美国建立半导体晶圆代工厂，既承接公司的商业订单，也为美国军方供货。此前，美国主要的半导体公司如苹果、高通与英伟达，并不具备在本土生产芯片的能力，此类工作通常被外包给中国台湾的台积电、韩国三星等代工企业。英特尔在美国设有芯片工厂，但主要是为自家产品供货，不承接其他客户的订单。而五角大楼希望改变芯片生产依赖其他国家与地区的现状，鼓励美国本土晶圆厂建设、相关知识产权的研发。在2018年的《美国国防战略》中，五角大楼就把微电子技术列为其国防现代化的重点领域。今年6月，美国两党提出共涉及约270亿美元的两份法案，要求发展本国半导体产业。12月11日，美国国会通过了《2021财年国防预算授权法案》，但特朗普尚未签字。预算案中要求美国商务部、国防部、美国国家科学技术委员会等进行统筹，对美国本土的半导体企业提供资金扶持、政策协调、劳动力培训，并加强军民融合。“国家安全创新网络”的网站称，“目前尚没有任何商业上可行的选项能够带来一家位于美国本土、行业领先的晶圆厂，以生产美国国防部关键系统所必须的、确保最尖端、定制的芯片以及货架商品。RAMP-C项目就是为了鼓励这样的选项出现。”今年10月，英特尔位于亚利桑那州的一家芯片工厂赢得了关于加快生产先进军用芯片的美国政府订单。同时，台积电也计划投资120亿美元，在亚利桑那州建设一座5nm芯片工厂。"
"'美军埃塞克斯号两栖舰爆发疫情 被迫替换新水兵上舰', '据美国加州《圣迭戈联合论坛报》报道，最近正停留在海上的美国海军“埃塞克斯”号两栖攻击舰上出现疫情，有许多水手新冠病毒检测呈阳性并因此病倒，美国海军不得不派遣新队伍上舰替换他们。“埃塞克斯”号这一消息是“埃塞克斯”号上的一名水手透露的，这名水手说，疫情是在该舰的工程部门暴发的，许多水手受到了感染。上舰接替这些感染新冠病毒船员的水手中不少人来自另一艘两栖攻击舰——今年7月发生严重火灾并已经被计划报废处理的“好人理查德”号上的队伍，他们通过搭乘LCAC气垫登陆艇被运抵“埃塞克斯”号上的。一名海军官员称，被送上“埃塞克斯”号的水手中有4人来自“好人理查德”号。基地设在圣迭戈的太平洋舰队水面部队司令部（Naval Surface Forces Pacific）证实了这名水手的某些说法，但拒绝说明“埃塞克斯”号上到底有多少名水手受到了疫情的影响。为防控疫情，“埃塞克斯”号餐厅内的桌子上都设置了隔板海军发言人妮可·史威格曼在一份声明中说：“配属‘埃塞克斯’号两栖戒备大队（ARG）的人员中有人新冠病毒检测呈阳性。”她还表示，有时为了满足人员配备和训练要求，会在有预期损失的情况下，让预备役部队或具有更高优先级的部队的水手开展跨甲板作业。“埃塞克斯”号于12月初带着来自彭德尔顿海军陆战队基地第5陆战团第1营的分遣队离开圣迭戈，参加每年一次的 “钢铁骑士/黎明闪电”演习。海军陆战队第1师的官员没有立即回应置评请求，但是一位未经授权发表评论的海军陆战队官员说，只有1/5的海军陆战队队员受到了疫情的影响。正返回圣迭戈的“埃塞克斯”号据悉，“埃塞克斯”号已经于14日返回圣迭戈。自新冠病毒疫情开始以来，美军各军种都未发布过特定地区的确诊病例数量，但船只和驻军中出现疫情的零星报告表明，随着社区中确诊病例数量的增加，美军维持正常行动的能力面临挑战。美国海军在11月发给太平洋舰队的一封信中说，水手中的感染率“通常与当地的感染率相同”。美国海军最新公布的数字显示，本周全海军范围内有1281名水手新冠病毒呈阳性。自11月初以来，已经有将近7700名水手新冠病毒呈阳性，这占了疫情开始以来海军累计确诊病例数的40%。根据2019年的一项研究，美国海军现役的1/6水手都驻扎在圣迭戈。通过使用这一比例和美国海军中累计确诊病例数量进行推算，表明约有500名圣迭戈的水手新冠病毒呈阳性。"
"'美媒:美核安全局网络被攻破 黑客把什么事都搞清楚了', '原标题：美媒称美核安全局网络被攻破,官员:黑客们把什么事都搞清楚了海外网12月18日电 知情人士透露，美国能源部（DOE）和美国国家核安全局（NNSA）掌握的证据显示，有黑客入侵它们的网络。这是一次大规模间谍活动的一部分，该行动至少影响了六个联邦机构。据美国“政治”网站17日报道，在周四（17日）听取了能源部首席信息官洛奇•坎皮恩（Rocky Campione）的报告后，能源部和国家核安全局官员开始协调向国会监督机构通报有关违规行为。报告称，他们在联邦能源管理委员会（FERC），新墨西哥州和华盛顿州的桑迪亚（Sandia）和洛斯阿拉莫斯（Los Alamos）国家实验室，国家核安全局安全运输办公室以及能源部在里奇兰市办事处的网络中发现了可疑活动。官员们表示，一直在帮助管理联邦政府应对黑客广泛攻击活动的网络安全和基础设施安全局（CISA）本周向联邦能源管理委员会表示，他们已不堪重负，可能无法分配必要的资源来应对。据悉，最近几周内，网络安全和基础设施安全局的多位高级官员，包括其前任董事克里斯托弗·克雷布斯（Christopher Krebs），或是被特朗普政府开除，或是主动提出了辞职。知情人士称，联邦调查人员最近几天一直在对网络进行梳理，以确定黑客能够访问和/或窃取什么，而能源部的官员仍然不知道攻击者是否能够访问任何内容，他们可能“数周内”都无法了解损失的程度。不过，能源部发言人谢琳·海恩斯（Shaylyn Hynes）在一份声明中表示，黑客并没有进入关键的防御系统。对能源部的攻击是迄今为止最明显的迹象，表明黑客能够访问属于美国国家安全体系核心部分的网络。据信，黑客通过损害软件公司SolarWinds进入了联邦机构的网络，向数百名政府和私营部门客户出售IT管理产品。一名官员表示，“这看起来是美国历史上最严重的黑客案件。他们把什么事都搞清楚了。”据了解，美国国家核安全局负责管理国家的核武器，尽管受到的关注最少，但却占据了能源部绝大部分的预算。同样，桑迪亚和洛斯阿拉莫斯国家实验室也进行着与民用核能和核武器有关的原子研究。安全运输办公室的任务是运送浓缩铀和其他对维持核储存至关重要的材料。报道称，黑客可能已经在能源部里奇兰市办事处撒下了很大的网，该办公室的主要职责是监督华盛顿州汉福德核废料场的清理工作。在第二次世界大战和冷战期间，美国在那里生产了三分之二的钚，但这个地点自1971年以来就一直没有活跃过。而对联邦能源管理委员会的攻击可能是为了破坏美国的大电网。该委员会不会直接管理任何电力流，但会在电网上存储敏感数据，这些数据可用于识别最具破坏性的位置，以备日后攻击。（海外网 李晓航）"
"'俄""新轻坦""成功通过海上航行测试 火力与T90不相上下', '[环球网军事报道]俄罗斯卫星通讯社莫斯科12月17日报道，据俄罗斯国家技术集团新闻处消息，世界上唯一的一款空降两栖自行反坦克炮——“章鱼-SD”轻型坦克成功通过在黑海地区进行的测试，试验证明“章鱼-SD”轻型坦克可在无准备的情况下直接下水，在3级海况下航行。俄技集团在消息中说：“在国家测试期间，‘章鱼-SD’轻型坦克在黑海表现出优秀的海上航行能力，水上航行安全可靠。试验证明，战车可在无准备情况在3级海况下航行和战斗，可在未经准备的海岸抢滩登陆”。俄技集团装备公司工业总监别克汉·奥兹多耶夫表示，国家测试期间，“章鱼-SD”轻型坦克通过了海上、俄中部地区和亚热带地区（零上40度）。奥兹多耶夫说：“低温试验计划在2021年初进行。‘章鱼-SD’轻型坦克将主要供俄罗斯空降军装备。预计‘章鱼-SD’轻型坦克展示出的技战性能也会引起外国客户的兴趣。”报道称，“章鱼-SD”轻型两栖坦克在火力上与T-80和T-90坦克不相上下，其路上和水上机动能力与BMD-4M步战车相仿。"
"'美海军彻查濒海舰动力故障根源 美媒:已成漂浮垃圾堆', '原标题：美海军开始彻查濒海战斗舰动力故障根源 美媒送新绰号：漂浮垃圾堆[环球网报道 记者 徐璐明]美国海军近日开始对屡屡发生动力故障的“自由”级濒海战斗舰进行审查，这款战舰一直因动力问题、生存力问题、设计缺陷等问题而饱受诟病。美媒甚至用“漂浮垃圾堆”来形容这款战舰目前尴尬的处境。据美国“任务与目标”网站12月17日报道，美国海军目前正在调查其造价高达5亿美元的“自由”级濒海战斗舰潜在的设计缺陷，这是这款饱受诟病的水面战舰遇到的最新问题。报道称，美国海军人员目前正在对濒海战斗舰复杂的联合传动装置进行研究分析，以查明其是否存在设计缺陷并导致最近两艘濒海战斗舰在海上发生一系列动力故障。“任务与目标”网站援引“防务新闻”的报道称，在去年10月，“底特律”号濒海战斗舰的联合传动装置出现问题，使得该舰被迫返港。在最近几个月，同样的问题也困扰着“小石城”号濒海战斗舰。美国海军海上系统司令部在一份声明中告诉“防务新闻”：“美国海军和洛克希德·马丁公司的一支联合团队以及该设备的制造商RENK AG公司正在对这一缺陷进行分析。”根据美国海军2021财年的预算请求，目前美国海军舰队中有10艘“自由”级濒海战斗舰在役。另有7艘正在建造中。根据美国国会研究机构的一份报告，每艘“自由”级濒海战斗舰的成本约为5.2亿美元。而最近发生的一系列动力故障和成本超支等问题，削弱了人们对于这款曾经被设想为相对廉价、具有先进的模块化设计的水面战舰的信心。五角大楼作战与测试评估办公室在2018年对濒海战斗舰的审查结果显示，这款战舰的作战系统存在令人担忧的问题，其关键系统明显缺乏冗余。该办公室在报告中称：“在高强度的战斗中，两种濒海战斗舰（‘自由’级与‘独立’级）都无法生存。”此外，五角大楼在今年1月发布的最新评估报告中确认，美国海军的两款濒海战斗舰在面对反舰导弹时都是容易遭受攻击的对象，严重缺乏关键的防御能力。但尽管存在这些缺陷，根据最新的审查结果，美国海军没有测试这些战斗系统，也没有计划对濒海战斗舰进行进一步的作战测试。美国海军实际上“已经接受了他们在还没有进行战斗系统作战测试的情况下继续作战的风险”。美国海军的预算文件显示，考虑到濒海战斗舰持续存在的战场生存能力的问题，美国海军要在本财政年度“不顾一切”地将前4艘“能力较弱”的濒海战斗舰退役。美国海军解释称：“这些舰艇是测试训练和训练资产，并在研究操作概念、部署方式等方面发挥了关键作用。”报道称，多年来美国海军的濒海战斗舰已经“赢得”了“小破船”的名声。“防务新闻”的报道表明，美国海军官员和理发这门对这款战舰的实际能力的信心只会进一步崩溃。如果要说有什么不同的话，那就是动力系统的问题可能会给濒海战斗舰带来一个新绰号：漂浮垃圾堆。"
"'印国防部明年将采购约38亿美元武器装备 九成系自产', '原标题：印度国防部决定采购约38亿美元的武器装备新华社新德里12月17日消息，印度国防部17日决定为该国陆海空三军采购价值2800亿卢比（约38亿美元）的武器装备。印度国防部长拉杰纳特·辛格当天主持召开国防采购委员会会议，并做出这一决定。印度国防部在一份声明中说，其中2700亿卢比（约36.7亿美元）将用于采购本国工业部门生产的武器装备，旨在推进政府的“印度制造”和“自力更生”倡议。据报道，这批武器装备包括空军的6套空中早期预警和控制系统、海军的11艘新一代巡逻艇和38枚增程版“布拉莫斯”超音速巡航导弹以及陆军的40套新型模块化桥梁系统等。（原题为《印度国防部决定采购约38亿美元的武器装备》）"
"'希腊向法国采购18架阵风战机 共耗资约23亿欧元', '原标题：希腊向法国采购18架“阵风”战机，共耗资约23亿欧元当地时间12月17日，综合希腊媒体消息，希腊国防部长帕纳约托普洛斯及希腊政府发言人帕萨斯在当日公布向法国采购“阵风”战机具体程序及细节。希腊将从法国购买18架“阵风”战机，总共支付约23亿欧元（28亿美元）。其中19.2亿欧元将用来购买6架全新的“阵风”战机和12架二手“阵风”战机，其余经费将用来够买配套设备。6架“阵风”战机将在2021年底交付，余下的战机将在2023年中前完成交付。希腊拟在2021年初派出四名空军飞行员前往法国进行培训。（原题为《希腊向法国采购18架“阵风”战机 共耗资约23亿欧元》）"
"'普京：全球应团结抗疫 不是追查谁应为新冠来源负责', '原标题：普京:全世界要团结抗疫 不是追查谁应为新冠来源负责海外网12月17日电 当地时间17日12点，俄罗斯总统普京在位于莫斯科州的新奥加廖沃官邸举行一年一度的大型记者会。据俄罗斯卫星网报道，普京表示，全世界要做的不是追查谁要为新冠病毒来源负责，而是团结起来抗疫。普京称，对于新冠病毒的来源有很多传言，但我们要做的不是寻找责任方，而是联合起来解决问题。他还表示，应对因新冠疫情处境困难的国家解除制裁和贸易限制。受新冠疫情影响，本次大型记者会以视频会议的形式举行，共计774名记者注册参加本次普京大型记者会，237名俄罗斯联邦级媒体和外国媒体记者将在莫斯科国际贸易中心进行视频连线。（海外网 杨佳）"
"'普京：俄没有干预美国大选 希望拜登解决美俄关系问题', '原标题：普京：俄没有干预美国大选 希望拜登解决美俄关系问题来源:海外网普京（俄罗斯卫星网）海外网12月17日电当地时间17日12点，俄罗斯总统普京在位于莫斯科州的新奥加廖沃官邸举行一年一度的大型记者会。据俄罗斯卫星网报道，普京表示，俄罗斯黑客没有干预美国大选，这一切都是臆测，是为了破坏两国关系。普京称，希望美国当选总统拜登能解决美俄关系方面存在的问题。早前普京向拜登致贺电，祝贺拜登在美国总统选举中获胜。普京指出，基于相互尊重的合作符合俄美两国及全世界人民的利益。受新冠疫情影响，本次大型记者会以视频会议的形式举行，共计774名记者注册参加本次普京大型记者会，237名俄罗斯联邦级媒体和外国媒体记者将在莫斯科国际贸易中心进行视频连线。（海外网 杨佳）"
"'俄“萨尔马特”洲际导弹2022年将投入战斗值班', '原标题：俄媒：俄“萨尔马特”洲际导弹2022年将投入战斗值班参考消息网12月17日报道 俄罗斯《消息报》网站12月16日发表了题为《俄“萨尔马特”洲际弹道导弹2022年将开始战斗值班》的报道称，俄罗斯战略火箭兵司令谢尔盖·卡拉卡耶夫上将12月16日宣布，“萨尔马特”洲际弹道导弹2022年将在该部队投入战斗值班。卡拉卡耶夫指出：“目前，俄工业企业正在继续筹备‘萨尔马特’洲际导弹系统的国家飞行测试。今天（12月16日），俄军乌茹尔导弹兵团已开展为首批导弹团换装准备的工作。首批导弹计划于2022年投入战斗值班。‘萨尔马特’（RS-28）将取代目前世界上最重型的战略导弹‘部队长官’（北约代号‘撒旦’，RS-20V）。该项目的试验设计工作始于2011年。新导弹将能经（飞越）北极和南极攻击目标，突破敌方反导系统。导弹由马克耶夫设计局研发，将在克拉斯诺亚尔斯基机器制造厂生产。”俄罗斯未来的“萨尔马特”重型液体燃料洲际弹道导弹射程1.8万公里，发射重量208.1吨，有效载荷（可携带核弹头总重，本网注）超过10吨，导弹全长35.5米，直径3米。今年1月，俄国防部宣称，到2024年战略导弹兵将百分之百装备新导弹系统。俄军导弹兵如今列装有7种现役洲际弹道导弹系统，分为陆基井射式（“部队长官”、“三棱匕首”、“白杨”-M和“亚尔斯”）和TEL（运输起竖发射车）机动发射式（“白杨”-M、“白杨”和“亚尔斯”）两大类。俄军打算近期为各兵团换装新型“萨尔马特”洲际导弹和“先锋”高超音速助推滑翔打击导弹等系统。2019年5月底，俄国防部宣布了2019至2021年发射“萨尔马特”的计划。"
